day,sales_for_model,tv_print_spend,digital_social_spend,email_crm_spend,trade_promo_spend
2010-12-01,20227.225922305908,2024.9201692071963,2032.348327356222,1812.497435109113,1508.0415820713204
2010-12-02,21148.627671012997,1453.7688234741472,2584.7044073783704,2474.4972128996533,1385.1222917779908
2010-12-03,20939.052696084447,2431.529667373593,3756.510117201242,1429.4639084153,1076.082491058596
2010-12-05,21234.341821542075,2630.423830901886,3209.354883626379,2328.013913958785,1301.3281686276314
2010-12-06,20066.803904645607,1132.43582118628,3899.3455556099284,1568.2697033866825,571.5955760710217
2010-12-07,20696.92672062528,1544.6124606026633,3362.9483969583825,1244.8312469782697,1165.4866806076761
2010-12-08,20899.605618838166,2443.0489425208334,2707.0368428786,2004.8367773444868,1186.893428321226
2010-12-09,20447.325920616153,2248.854849058979,3234.5449708419424,1668.8063631167508,1857.5198960431449
2010-12-10,20600.746776619442,2502.700357966579,2272.2441733845267,1229.7011282077765,1803.981578113865
2010-12-12,20759.92795781177,2030.5307765141984,2214.925058355246,1827.1568977926659,2290.7521468990076
2010-12-13,20264.116734296997,3225.9344104110855,1505.669670586783,1103.7720181331504,3872.2110609913743
2010-12-14,19737.123055676584,3229.3128536661275,1455.8798540881082,1163.2416998052745,2691.994384355408
2010-12-15,19599.173909451412,2803.281657785966,1042.6402134562716,1156.2414893910511,3208.3171999231718
2010-12-16,20321.80808076824,3597.577879336103,1406.600328117359,870.7490410779027,2743.7335293380265
2010-12-17,20231.793539121223,3183.0094827973926,729.3206809835499,1113.5188118566716,2880.2989942837908
2010-12-19,19578.420502522742,2267.0478250105716,1179.8849996400436,850.8407375422314,2661.468935504965
2010-12-20,20061.186366091173,3187.61157445358,942.3749098817494,886.016048539862,2692.4079148842616
2010-12-21,20467.235519857622,2237.846200517715,1347.4953657817182,1359.3342785535292,2763.6235471775617
2010-12-22,20524.522926357495,3612.2830090937214,1357.5368191719533,784.441764472812,2600.189914187985
2010-12-23,20804.538876715826,2936.4449132638583,1872.7194357219682,446.77102597851587,1674.7915613158095
2011-01-04,20880.95456641063,2840.90998622851,1735.3981805286235,1696.9419421789619,1498.8595491366746
2011-01-05,19397.68218112566,2470.0646077446345,1016.9062200727792,2145.1998130765396,798.863209012697
2011-01-06,21083.257613223566,3875.540458552656,1868.8837481564904,1280.9384223066515,996.1705198233561
